# This file was produced by bcftools (1.2+htslib-1.2), the command line was:
# 	 bcftools gtcheck  -H test.vcf.gz
# and the working directory was:
# 	 /Users/dancook/coding/git/vcf-toolbox
#
# [1]SM	[2]Average Discordance	[3]Average depth	[4]Average number of sites	[5]Sample	[6]Sample ID
CN	0	85	33.89	CX11315	CX11276
CN	0	84	35.77	CX11315	CX11285
CN	0	71	38.35	CX11315	CX11292
CN	0	81	37.44	CX11315	CX11307
CN	0	137	34.67	CX11315	CX11314
CN	0	49	26.10	DL200	AB1
CN	0	56	28.48	DL200	AB4
CN	0	20	28.00	DL200	CB4851_CGC
CN	0	50	26.36	DL200	CB4852
CN	0	63	27.83	DL200	CB4853
CN	0	49	30.80	DL200	CB4854
CN	0	58	28.64	DL200	CB4855_UK
CN	0	82	28.80	DL200	CB4856
CN	0	65	28.34	DL200	CB4857
CN	0	10	26.30	DL200	CB4858_UK
CN	0	60	31.52	DL200	CB4932
CN	0	56	28.16	DL200	CX11254
CN	0	60	28.50	DL200	CX11262
CN	0	73	29.26	DL200	CX11264
CN	0	66	28.76	DL200	CX11271
CN	25	61	29.20	DL200	CX11276
CN	0	79	28.04	DL200	CX11285
CN	0	54	28.93	DL200	CX11292
CN	0	67	29.84	DL200	CX11307
CN	0	53	28.00	DL200	CX11314
CN	0	56	27.64	DL200	CX11315
CN	0	83	55.30	DL226	AB1
CN	0	131	54.49	DL226	AB4
CN	0	12	61.17	DL226	CB4851_CGC
CN	0	66	59.85	DL226	CB4852
CN	0	133	52.92	DL226	CB4853
CN	0	86	49.69	DL226	CB4854
CN	0	134	39.34	DL226	CB4855_UK
CN	0	105	55.82	DL226	CB4856
CN	0	135	46.01	DL226	CB4857
CN	0	2	49.00	DL226	CB4858_UK
CN	0	44	59.27	DL226	CB4932
CN	0	93	33.53	DL226	CX11254
CN	0	115	31.02	DL226	CX11262
CN	0	133	54.82	DL226	CX11264
CN	0	82	44.24	DL226	CX11271
CN	25	94	35.96	DL226	CX11276
CN	0	144	53.22	DL226	CX11285
CN	0	110	54.12	DL226	CX11292
CN	0	89	47.64	DL226	CX11307
CN	0	121	38.46	DL226	CX11314
CN	0	91	37.95	DL226	CX11315
CN	0	58	29.97	DL226	DL200
CN	0	82	60.89	DL238	AB1
CN	0	98	72.28	DL238	AB4
CN	0	40	71.40	DL238	CB4851_CGC
CN	0	62	65.13	DL238	CB4852
CN	0	93	71.33	DL238	CB4853
CN	0	68	47.60	DL238	CB4854
CN	0	105	39.23	DL238	CB4855_UK
CN	0	197	79.74	DL238	CB4856
CN	0	94	47.39	DL238	CB4857
CN	0	12	40.50	DL238	CB4858_UK
CN	0	60	72.23	DL238	CB4932
CN	0	91	33.54	DL238	CX11254
CN	0	116	29.79	DL238	CX11262
CN	0	139	74.42	DL238	CX11264
CN	0	83	43.98	DL238	CX11271
CN	25	76	34.96	DL238	CX11276
CN	0	139	73.73	DL238	CX11285
CN	0	83	56.76	DL238	CX11292
CN	0	109	50.33	DL238	CX11307
CN	0	117	36.72	DL238	CX11314
CN	0	95	38.75	DL238	CX11315
CN	0	83	29.01	DL238	DL200
CN	0	96	53.44	DL238	DL226
CN	0	84	59.17	ED3005	AB1
CN	0	159	59.38	ED3005	AB4
CN	0	14	51.64	ED3005	CB4851_CGC
CN	0	73	62.27	ED3005	CB4852
CN	0	147	57.73	ED3005	CB4853
CN	0	89	48.48	ED3005	CB4854
CN	0	142	38.94	ED3005	CB4855_UK
CN	0	113	56.52	ED3005	CB4856
CN	0	143	44.92	ED3005	CB4857
CN	0	2	49.00	ED3005	CB4858_UK
CN	0	41	65.88	ED3005	CB4932
CN	0	101	32.64	ED3005	CX11254
CN	0	128	29.05	ED3005	CX11262
CN	0	143	56.64	ED3005	CX11264
CN	0	104	44.58	ED3005	CX11271
CN	25	88	33.70	ED3005	CX11276
CN	0	154	56.67	ED3005	CX11285
CN	0	133	57.04	ED3005	CX11292
CN	0	94	45.76	ED3005	CX11307
CN	0	156	37.62	ED3005	CX11314
CN	0	110	35.46	ED3005	CX11315
CN	0	61	28.30	ED3005	DL200
CN	0	147	48.29	ED3005	DL226
CN	0	118	53.50	ED3005	DL238
CN	0	65	30.72	ED3011	AB1
CN	0	116	32.54	ED3011	AB4
CN	0	15	26.80	ED3011	CB4851_CGC
CN	0	55	32.91	ED3011	CB4852
CN	0	104	33.07	ED3011	CB4853
CN	0	68	35.26	ED3011	CB4854
CN	0	111	30.36	ED3011	CB4855_UK
CN	0	71	33.44	ED3011	CB4856
CN	0	112	32.44	ED3011	CB4857
CN	0	1	24.00	ED3011	CB4858_UK
CN	0	34	34.06	ED3011	CB4932
CN	0	72	31.54	ED3011	CX11254
CN	0	76	28.84	ED3011	CX11262
